Cold Brew,,,
Americano,39,,
Caffe Latte,39,,
Spanish Latte,39,,
,,,
Dark Mocha Latte,59,,
Hazelnut Latte,59,,
Vanilla Latte,59,,
,,,
Iced Coffee,Mini,Medio,Grande
Caramel Macchiato,29,39,69
Macchiato,29,39,69
Cappuccino,29,39,69
White Blanco,29,39,69
,,,
Milktea,,,
Dark Chocolate,25,39,49
Black Forest,25,39,49
Red Velvet,25,39,49
Cookie and Cream,25,39,49
Mango Cheesecake,25,39,49
Strawberry,25,39,49
White Bunny,25,39,49
Hazelnut,25,39,49
Okinawa,25,39,49
Wintermelon,25,39,49
,,,766